Sample_ID,Sample_Type,Type,Raw_Yield(G),Raw_Reads_Num(M),Raw_Q30,Raw_Q20,Raw_GC,Clean_Yield(G),Clean_Reads_Num(M),Clean_Q30,Clean_Q20,Clean_GC,Effective,Insert_Size_Peak(bp),V_primer_percent,J_primer_percent,merge_rate,clone_reads_ratio
HPLXTCR03231,gdna,Healthy,3.71,24.75,92.17,96.72,55.18,2.97,24.57,94.09,97.94,55.72,80.01,104,95.0,97.13,0.95,0.847
HPLXTCR03230,gdna,Healthy,4.6,30.65,92.35,96.82,55.11,3.63,30.44,94.22,98.0,55.67,79.04,110,94.75,97.21,0.97,0.844
HPLXTCR03229,gdna,Healthy,4.62,30.78,92.17,96.72,55.35,3.68,30.52,94.07,97.93,55.96,79.63,104,94.97,97.12,0.95,0.844
HPLXTCR03228,gdna,Healthy,4.12,27.5,92.17,96.72,55.16,3.29,27.28,94.04,97.91,55.78,79.69,105,95.1,97.19,0.96,0.85
HPLXTCR03227,gdna,Healthy,3.83,25.51,92.4,96.86,55.35,3.1,25.3,93.99,97.88,55.98,81.04,138,95.06,97.05,0.94,0.852
HPLXTCR03226,gdna,Healthy,6.36,42.4,92.16,96.78,55.58,5.24,41.99,93.68,97.75,56.15,82.42,110,95.13,97.07,0.94,0.848
HPLXTCR03225,gdna,Healthy,4.96,33.09,92.27,96.81,55.22,4.06,32.82,93.88,97.84,55.76,81.83,111,95.3,96.93,0.95,0.85
HPLXTCR03224,gdna,Healthy,6.3,42.02,92.29,96.82,55.46,5.14,41.68,93.87,97.85,56.06,81.61,108,95.29,97.07,0.93,0.85
HPLXTCR03223,gdna,Healthy,4.22,28.14,92.06,96.72,55.22,3.46,27.9,93.69,97.78,55.78,82.01,108,95.16,97.13,0.94,0.851
HPLXTCR03248,gdna,Healthy,5.35,35.66,92.75,97.22,55.43,4.37,35.36,94.0,97.89,56.07,81.74,105,95.16,97.0,0.93,0.845
HPLXTCR03250,gdna,Healthy,5.92,39.44,92.54,97.06,55.49,4.82,39.16,94.2,97.98,56.12,81.47,113,95.15,97.06,0.93,0.845
HPLXTCR03221,gdna,Healthy,4.69,31.24,92.35,96.73,55.05,3.63,31.01,94.43,98.06,55.71,77.47,104,94.94,97.23,0.97,0.847
HPLXTCR03251,gdna,Healthy,5.12,34.15,92.82,97.22,54.68,4.06,33.89,94.34,98.02,55.31,79.22,221,95.23,97.33,0.96,0.851
HPLXTCR03284,gdna,Healthy,6.02,40.11,93.62,97.64,54.74,4.77,39.9,95.06,98.36,55.5,79.27,104,95.57,97.49,0.97,0.851
HPLXTCR03283,gdna,Healthy,3.9,26.0,93.43,97.56,54.74,3.13,25.87,94.84,98.28,55.51,80.28,104,95.63,97.43,0.96,0.851
HPLXTCR03282,gdna,Healthy,4.6,30.64,92.91,97.19,54.51,3.54,30.47,95.18,98.41,55.3,77.12,104,95.66,97.59,0.99,0.849
HPLXTCR03281,gdna,Healthy,4.01,26.76,93.57,97.61,54.69,3.19,26.62,95.01,98.34,55.46,79.46,110,95.77,97.51,0.97,0.851
HPLXTCR03280,gdna,Healthy,4.31,28.72,93.39,97.52,54.67,3.38,28.57,94.85,98.27,55.52,78.4,104,95.62,97.49,0.97,0.852
HPLXTCR03279,gdna,Healthy,4.34,28.94,93.32,97.49,54.89,3.45,28.8,94.85,98.28,55.69,79.43,104,95.75,97.46,0.96,0.855
HPLXTCR03278,gdna,Healthy,4.99,33.24,93.44,97.55,54.75,3.92,33.06,94.86,98.28,55.56,78.6,104,95.63,97.47,0.97,0.854
HPLXTCR03277,gdna,Healthy,4,26.7,93.39,97.52,54.72,3.14,26.56,94.91,98.3,55.5,78.52,104,95.61,97.57,0.98,0.854
HPLXTCR03276,gdna,Healthy,3.99,26.61,93.37,97.5,54.72,3.13,26.46,94.9,98.29,55.55,78.46,96,95.76,97.51,0.98,0.852
HPLXTCR03275,gdna,Healthy,4.35,28.97,93.48,97.56,54.73,3.47,28.81,94.7,98.2,55.51,79.87,104,95.63,97.48,0.97,0.853
HPLXTCR03274,gdna,Healthy,5.67,37.81,93.57,97.61,55.05,4.44,37.6,94.99,98.33,55.9,78.3,108,95.65,97.56,0.97,0.854
HPLXTCR03273,gdna,Healthy,5.62,37.48,93.45,97.55,54.73,4.44,37.28,94.9,98.29,55.5,79.05,111,95.69,97.48,0.97,0.847
HPLXTCR03264,gdna,Healthy,2.21,14.75,93.64,97.7,55.08,1.84,14.68,94.7,98.25,55.73,83.22,155,95.45,97.24,0.94,0.847
HPLXTCR03263,gdna,Healthy,4.49,29.94,92.93,97.3,55.45,3.71,29.72,94.19,97.98,56.06,82.68,110,95.32,96.9,0.94,0.842
HPLXTCR03262,gdna,Healthy,5.5,36.68,93.03,97.37,55.33,4.5,36.43,94.24,98.01,55.98,81.8,125,95.42,97.06,0.93,0.851
HPLXTCR03261,gdna,Healthy,4.35,29.03,92.73,97.21,55.48,3.54,28.81,94.05,97.93,56.13,81.23,108,95.22,96.99,0.93,0.846
HPLXTCR03260,gdna,Healthy,6.03,40.18,93.03,97.32,55.13,4.72,39.87,94.49,98.09,55.95,78.3,104,95.31,97.16,0.96,0.853
HPLXTCR03259,gdna,Healthy,5.19,34.58,92.87,97.28,55.12,4.32,34.29,93.93,97.87,55.68,83.37,210,95.22,97.08,0.95,0.851
HPLXTCR03258,gdna,Healthy,5.15,34.35,92.84,97.25,55.25,4.22,34.08,94.11,97.94,55.88,81.81,104,95.43,96.95,0.94,0.838
HPLXTCR03257,gdna,Healthy,6.21,41.39,92.93,97.23,54.7,4.7,41.09,94.74,98.18,55.48,75.66,104,95.42,97.33,0.98,0.855
HPLXTCR03256,gdna,Healthy,5.5,36.7,93.17,97.36,55.02,4.26,36.45,94.74,98.17,55.73,77.4,104,94.97,97.37,0.97,0.849
HPLXTCR03255,gdna,Healthy,5.11,34.06,92.82,97.23,55.13,4.08,33.79,94.21,97.97,55.89,79.92,113,95.37,97.22,0.96,0.851
HPLXTCR03254,gdna,Healthy,5.12,34.15,93.08,97.37,54.92,4.07,33.91,94.47,98.09,55.51,79.45,111,94.96,97.33,0.95,0.847
HPLXTCR03253,gdna,Healthy,5.22,34.82,93.02,97.31,55.15,4.2,34.54,94.31,98.0,55.79,80.41,103,95.06,97.24,0.95,0.846
HPLXTCR03252,gdna,Healthy,4.99,33.28,92.91,97.28,55.16,4.02,33.02,94.28,98.0,55.84,80.52,105,95.52,97.05,0.95,0.853
HPLXTCR03222,gdna,Healthy,3.8,25.32,92.38,96.85,55.3,3.01,25.15,94.26,98.03,55.99,79.29,105,94.99,97.14,0.95,0.844
HPLXTCR03220,gdna,Healthy,4.97,33.1,92.17,96.71,55.55,3.97,32.82,94.01,97.9,56.25,79.86,114,95.06,97.16,0.94,0.85
HPLXTCR03415,gdna,Healthy,3.63,24.18,93.14,97.01,55.44,2.81,24.07,95.64,98.63,56.01,77.34,102,93.8,96.75,0.96,0.821
HPLXTCR03191,gdna,Healthy,4.48,29.9,92.64,97.17,55.17,3.67,29.66,94.04,97.93,55.82,81.75,149,94.95,97.1,0.95,0.838
HPLXTCR03189,gdna,Healthy,4.89,32.58,92.6,97.16,55.37,4.02,32.33,93.9,97.87,56.01,82.24,113,95.18,96.87,0.94,0.842
HPLXTCR03188,gdna,Healthy,4.8,32.01,92.41,97.01,55.19,3.68,31.75,94.29,98.01,55.99,76.72,107,94.87,97.19,0.95,0.853
HPLXTCR03187,gdna,Healthy,4.39,29.26,92.4,97.07,56.17,3.56,29.03,93.9,97.88,57.1,81.14,102,95.17,96.9,0.92,0.834
HPLXTCR03186,gdna,Healthy,4.39,29.3,92.3,96.98,55.27,3.6,29.06,94.04,97.95,55.84,81.87,122,95.1,97.1,0.94,0.775
HPLXTCR03185,gdna,Healthy,5.05,33.64,92.74,97.24,54.91,4.09,33.4,94.13,97.97,55.55,81.12,111,95.5,97.11,0.96,0.851
HPLXTCR03184,gdna,Healthy,5.57,37.14,92.84,97.24,55.58,4.5,36.84,94.15,97.95,56.35,80.81,102,95.35,97.0,0.93,0.852
HPLXTCR03183,gdna,Healthy,4.97,33.14,92.89,97.25,55.15,4.01,32.89,94.31,98.02,55.76,80.71,116,95.13,97.02,0.95,0.842
HPLXTCR03182,gdna,Healthy,6.49,43.3,93.07,97.32,54.79,4.95,43.01,94.8,98.21,55.55,76.15,104,95.16,97.38,0.98,0.853
HPLXTCR03181,gdna,Healthy,5.72,38.16,92.75,97.23,55.45,4.72,37.87,93.98,97.91,56.04,82.42,120,95.22,97.16,0.93,0.846
HPLXTCR03180,gdna,Healthy,5.05,33.69,92.36,96.87,54.5,3.55,33.43,94.97,98.26,55.36,70.27,104,95.11,97.33,0.99,0.847
HPLXTCR03179,gdna,Healthy,6.32,42.15,93.05,97.29,55.03,4.92,41.81,94.53,98.08,55.78,77.76,106,95.16,97.36,0.96,0.852
HPLXTCR03178,gdna,Healthy,4.19,27.96,92.65,97.11,55.16,3.37,27.7,94.1,97.91,55.73,80.41,198,94.98,97.1,0.95,0.843
HPLXTCR03177,gdna,Healthy,4.61,30.73,92.6,97.11,55.52,3.76,30.46,93.92,97.85,56.13,81.54,115,95.0,96.96,0.94,0.84
HPLXTCR03176,gdna,Healthy,6.54,43.58,92.95,97.28,55.28,5.19,43.25,94.35,98.03,56.0,79.4,103,95.12,97.24,0.95,0.849
HPLXTCR03175,gdna,Healthy,4.25,28.3,92.84,97.26,55.49,3.49,28.09,94.08,97.93,56.17,82.28,107,95.18,96.9,0.94,0.844
HPLXTCR03174,gdna,Healthy,4.4,29.33,93.01,97.37,55.39,3.6,29.14,94.25,98.03,56.03,81.9,158,95.17,97.19,0.93,0.845
HPLXTCR03173,gdna,Healthy,4.76,31.74,92.75,97.21,55.51,3.96,31.48,93.91,97.86,56.11,83.2,134,95.26,96.96,0.92,0.847
HPLXTCR03172,gdna,Healthy,5.46,36.42,92.73,97.19,55.35,4.48,36.11,94.02,97.9,56.0,82.03,104,95.42,97.11,0.93,0.857
HPLXTCR03171,gdna,Healthy,4.6,30.69,92.79,97.21,54.91,3.67,30.47,94.23,97.97,55.54,79.77,102,94.99,97.29,0.96,0.847
HPLXTCR03170,gdna,Healthy,4.49,29.93,92.35,96.94,55.24,3.66,29.7,94.13,97.95,55.84,81.44,103,95.24,97.01,0.94,0.853
HPLXTCR03169,gdna,Healthy,5.18,34.53,92.83,97.23,54.97,4.16,34.26,94.19,97.96,55.6,80.32,107,95.2,97.27,0.95,0.849
HPLXTCR03168,gdna,Healthy,5.05,33.69,92.48,96.92,54.95,3.98,33.38,94.34,98.04,55.72,78.77,104,95.54,94.6,0.96,0.832
HPLXTCR03167,gdna,Healthy,5.03,33.53,92.23,96.74,55.09,3.85,33.23,94.55,98.14,55.89,76.56,90,95.6,94.75,0.97,0.837
HPLXTCR03166,gdna,Healthy,4.38,29.18,92.4,96.89,54.92,3.45,28.91,94.27,98.02,55.63,78.93,104,95.42,94.62,0.96,0.832
HPLXTCR03165,gdna,Healthy,4.89,32.57,92.33,96.86,54.86,3.86,32.27,94.25,98.02,55.53,78.93,104,95.43,94.63,0.95,0.833
HPLXTCR03190,gdna,Healthy,4.02,26.81,92.7,97.26,55.43,3.33,26.63,93.97,97.93,56.07,82.77,110,95.18,97.1,0.93,0.848
HPLXTCR03192,gdna,Healthy,5.25,34.98,92.62,97.18,55.6,4.31,34.71,93.92,97.88,56.27,82.19,103,95.32,96.86,0.93,0.845
HPLXTCR03219,gdna,Healthy,4.78,31.88,92.52,96.88,54.91,3.76,31.67,94.45,98.08,55.59,78.58,135,95.14,97.36,0.98,0.85
HPLXTCR03193,gdna,Healthy,5.55,36.99,92.52,97.12,55.52,4.54,36.71,93.93,97.88,56.19,81.75,104,95.28,97.08,0.93,0.849
HPLXTCR03218,gdna,Healthy,7.16,47.74,91.57,96.2,54.96,5.44,47.39,94.59,98.14,55.65,76.02,104,95.32,97.39,0.98,0.857
HPLXTCR03217,gdna,Healthy,4.42,29.45,92.42,96.84,55.24,3.5,29.23,94.26,98.01,55.87,79.35,110,95.0,97.17,0.95,0.846
HPLXTCR03216,gdna,Healthy,6.58,43.86,93.26,97.45,54.86,5.02,43.57,94.89,98.27,55.7,76.27,104,95.12,97.35,0.97,0.85
HPLXTCR03215,gdna,Healthy,5.46,36.38,93.08,97.39,55.25,4.43,36.12,94.43,98.11,55.83,81.19,116,94.9,97.24,0.95,0.843
HPLXTCR03214,gdna,Healthy,4.77,31.81,93.25,97.48,55.1,3.77,31.61,94.61,98.18,55.79,79.09,108,94.86,97.28,0.96,0.845
HPLXTCR03213,gdna,Healthy,5.27,35.13,93.06,97.39,55.37,4.21,34.91,94.42,98.1,56.05,79.96,104,94.91,97.23,0.95,0.85
HPLXTCR03212,gdna,Healthy,4.76,31.76,93.04,97.35,55.05,3.7,31.54,94.62,98.16,55.8,77.65,104,95.03,97.32,0.96,0.851
HPLXTCR03211,gdna,Healthy,4.54,30.24,93.19,97.42,55.04,3.54,30.04,94.59,98.15,55.8,78.02,104,95.05,97.3,0.96,0.848
HPLXTCR03210,gdna,Healthy,8.13,54.2,93.38,97.52,54.86,6.37,53.84,94.83,98.25,55.59,78.38,104,95.36,97.44,0.98,0.856
HPLXTCR03209,gdna,Healthy,8.47,56.44,92.28,96.84,54.59,5.72,56.09,95.18,98.38,55.53,67.58,71,95.4,97.36,0.98,0.854
HPLXTCR03208,gdna,Healthy,5.45,36.35,93.09,97.4,55.21,4.43,36.1,94.33,98.06,55.8,81.2,104,95.17,97.22,0.94,0.845
HPLXTCR03207,gdna,Healthy,4.67,31.16,93.02,97.37,55.05,3.77,30.94,94.3,98.05,55.71,80.68,112,94.92,97.2,0.94,0.844
HPLXTCR03206,gdna,Healthy,4.31,28.71,93.22,97.49,55.42,3.48,28.53,94.49,98.15,56.11,80.91,110,95.12,97.24,0.94,0.847
HPLXTCR03205,gdna,Healthy,4.57,30.46,93.21,97.45,55.07,3.61,30.26,94.6,98.16,55.76,78.95,110,94.84,97.36,0.97,0.848
HPLXTCR03204,gdna,Healthy,5.33,35.53,93.17,97.45,55.38,4.35,35.28,94.42,98.1,56.04,81.6,117,94.97,97.23,0.95,0.849
HPLXTCR03203,gdna,Healthy,4.38,29.2,93.03,97.36,55.22,3.49,29.0,94.45,98.1,55.96,79.66,108,95.23,97.27,0.95,0.852
HPLXTCR03202,gdna,Healthy,5.83,38.87,92.51,96.95,54.42,4.28,38.64,95.22,98.4,55.19,73.36,104,95.37,97.51,0.99,0.85
HPLXTCR03201,gdna,Healthy,4.52,30.11,93.01,97.39,55.22,3.7,29.91,94.24,98.03,55.85,81.81,143,95.25,97.1,0.95,0.848
HPLXTCR03200,gdna,Healthy,5.49,36.57,92.72,97.23,55.31,4.51,36.31,94.01,97.92,55.99,82.26,102,95.29,96.97,0.94,0.847
HPLXTCR03199,gdna,Healthy,5.29,35.3,92.61,97.15,55.27,4.25,35.05,94.21,98.0,55.95,80.19,107,95.13,97.17,0.95,0.849
HPLXTCR03198,gdna,Healthy,5.03,33.52,92.61,97.19,55.6,4.1,33.27,93.98,97.92,56.29,81.58,110,94.95,96.89,0.94,0.841
HPLXTCR03197,gdna,Healthy,5.36,35.73,92.53,97.11,55.14,4.24,35.48,94.19,97.99,55.82,79.03,102,94.93,97.2,0.95,0.847
HPLXTCR03196,gdna,Healthy,4.93,32.86,92.56,97.1,55.08,3.82,32.63,94.37,98.05,55.81,77.48,108,94.83,97.24,0.96,0.848
HPLXTCR03195,gdna,Healthy,4.52,30.12,92.69,97.17,54.93,3.58,29.89,94.16,97.95,55.6,79.32,108,94.9,97.25,0.96,0.848
HPLXTCR03194,gdna,Healthy,7.73,51.53,92.4,96.96,54.73,5.63,51.18,94.76,98.2,55.63,72.83,104,95.34,97.41,0.97,0.861
HPLXTCR03285,gdna,Healthy,4.7,31.36,93.54,97.59,54.73,3.66,31.2,95.09,98.37,55.61,77.73,105,95.55,97.53,0.97,0.853
HPLXTCR03286,gdna,Healthy,4.58,30.52,93.45,97.58,54.77,3.57,30.38,95.07,98.39,55.64,77.9,113,95.57,97.48,0.97,0.853
HPLXTCR03287,gdna,Healthy,5.04,33.63,93.47,97.56,54.63,3.95,33.46,94.99,98.33,55.49,78.28,104,95.65,97.52,0.98,0.857
HPLXTCR03386,gdna,Healthy,4.72,31.44,93.81,97.66,55.43,3.63,31.28,95.81,98.69,55.75,77.05,107,93.06,96.42,0.97,0.813
HPLXTCR03384,gdna,Healthy,3.33,22.21,93.85,97.73,55.12,2.63,22.1,95.56,98.61,55.52,79.09,114,93.88,96.85,0.95,0.827
HPLXTCR03383,gdna,Healthy,3.5,23.35,93.78,97.68,55.21,2.72,23.26,95.65,98.64,55.8,77.62,99,93.91,96.96,0.96,0.83
HPLXTCR03382,gdna,Healthy,3.93,26.19,93.72,97.65,55.28,3.03,26.07,95.79,98.71,55.77,77.21,158,93.74,96.72,0.95,0.825
HPLXTCR03381,gdna,Healthy,3.43,22.86,93.78,97.68,55.58,2.71,22.74,95.47,98.56,56.11,79.12,104,93.72,96.81,0.94,0.829
HPLXTCR03380,gdna,Healthy,4.57,30.5,93.72,97.64,55.69,3.56,30.36,95.61,98.61,56.08,77.77,110,92.97,96.46,0.95,0.809
HPLXTCR03379,gdna,Healthy,3.03,20.21,93.58,97.59,55.51,2.43,20.09,95.24,98.46,55.96,80.18,116,93.69,96.64,0.94,0.824
HPLXTCR03378,gdna,Healthy,4.53,30.2,93.25,97.27,54.75,3.38,30.08,96.24,98.86,55.58,74.53,104,95.27,97.44,0.99,0.85
HPLXTCR03377,gdna,Healthy,3.78,25.23,93.85,97.71,55.67,2.97,25.11,95.6,98.61,56.2,78.41,112,93.42,96.74,0.96,0.811
HPLXTCR03376,gdna,Healthy,3.88,25.88,94.05,97.78,55.34,3.04,25.75,95.74,98.66,55.78,78.29,103,93.67,96.69,0.95,0.822
HPLXTCR03375,gdna,Healthy,5.03,33.54,93.91,97.72,55.76,3.96,33.38,95.66,98.64,56.3,78.8,122,93.88,96.82,0.94,0.828
HPLXTCR03374,gdna,Healthy,3.96,26.41,94.03,97.8,55.73,3.14,26.29,95.6,98.62,56.27,79.28,110,93.81,96.77,0.95,0.822
HPLXTCR03373,gdna,Healthy,4.31,28.72,93.84,97.67,55.37,3.31,28.59,95.8,98.69,55.77,76.83,105,93.52,96.59,0.96,0.821
HPLXTCR03372,gdna,Healthy,4.24,28.3,94.07,97.8,55.64,3.34,28.16,95.75,98.67,56.07,78.63,110,93.36,96.61,0.96,0.821
HPLXTCR03371,gdna,Healthy,3.87,25.78,94.27,97.92,55.4,3.06,25.67,95.64,98.64,56.0,79.02,106,94.04,97.0,0.94,0.836
HPLXTCR03370,gdna,Healthy,3.9,26.03,94.15,97.84,55.73,3.11,25.9,95.68,98.63,56.24,79.64,108,94.12,96.88,0.95,0.835
HPLXTCR03369,gdna,Healthy,3.02,20.15,94.19,97.88,55.23,2.46,20.07,95.58,98.6,55.61,81.47,122,93.98,96.87,0.94,0.833
HPLXTCR03368,gdna,Healthy,3.86,25.73,94.1,97.73,54.61,2.75,25.63,96.54,98.96,55.54,71.39,104,95.35,97.43,0.99,0.851
HPLXTCR03367,gdna,Healthy,4.1,27.33,94.15,97.85,55.13,3.27,27.22,95.66,98.63,55.54,79.9,119,93.98,96.89,0.95,0.827
HPLXTCR03366,gdna,Healthy,3.77,25.13,94.15,97.87,55.3,3.01,25.02,95.72,98.68,55.82,79.87,106,94.33,96.89,0.95,0.833
HPLXTCR03365,gdna,Healthy,3.81,25.39,94.13,97.83,55.45,2.99,25.27,95.74,98.66,56.0,78.41,90,94.2,96.97,0.95,0.833
HPLXTCR03364,gdna,Healthy,3.31,22.09,94.15,97.86,55.38,2.69,21.99,95.54,98.59,55.64,81.11,116,93.22,96.72,0.92,0.822
HPLXTCR03363,gdna,Healthy,4.42,29.46,94.15,97.85,55.6,3.46,29.33,95.81,98.69,56.3,78.26,104,94.28,97.0,0.96,0.839
HPLXTCR03362,gdna,Healthy,3.45,22.99,93.76,97.59,55.25,2.75,22.89,95.75,98.68,55.73,79.79,115,94.35,97.01,0.95,0.836
HPLXTCR03361,gdna,Healthy,3.36,22.41,94.24,97.91,55.16,2.7,22.32,95.63,98.62,55.61,80.36,102,94.37,97.03,0.95,0.836
HPLXTCR03360,gdna,Healthy,13.09,87.26,93.71,97.48,54.71,10.0,86.75,95.89,98.7,55.65,76.4,99,95.4,96.3,0.97,0.831
HPLXTCR03385,gdna,Healthy,3.37,22.45,93.69,97.64,55.83,2.72,22.34,95.35,98.51,56.36,80.65,106,93.87,96.85,0.94,0.831
HPLXTCR03387,gdna,Healthy,2.92,19.47,94.01,97.8,55.18,2.34,19.38,95.51,98.57,55.66,80.14,106,93.97,96.92,0.95,0.837
HPLXTCR03288,gdna,Healthy,4.2,28.03,93.53,97.58,54.91,3.28,27.88,95.1,98.38,55.74,77.97,104,95.6,97.48,0.97,0.852
HPLXTCR03388,gdna,Healthy,3.13,20.84,93.66,97.62,55.77,2.46,20.75,95.55,98.61,56.24,78.65,153,93.46,96.66,0.95,0.818
HPLXTCR03413,gdna,Healthy,4.69,31.25,93.45,97.22,55.57,3.69,31.1,95.6,98.6,56.14,78.79,107,93.81,96.88,0.96,0.825
HPLXTCR03412,gdna,Healthy,5.12,34.12,93.33,97.17,55.77,4.02,33.95,95.56,98.59,56.16,78.55,106,92.91,96.49,0.95,0.817
HPLXTCR03411,gdna,Healthy,4.19,27.94,93.32,97.15,55.62,3.28,27.8,95.62,98.62,56.09,78.15,110,93.18,96.58,0.96,0.819
HPLXTCR03410,gdna,Healthy,3.85,25.63,92.61,96.64,55.55,2.93,25.52,95.85,98.71,55.87,76.15,110,92.87,96.18,0.97,0.806
HPLXTCR03409,gdna,Healthy,3.45,22.99,93.29,97.09,55.55,2.69,22.81,95.55,98.56,56.06,78.06,97,93.73,96.86,0.95,0.825
HPLXTCR03408,gdna,Healthy,3.08,20.54,94.3,97.92,55.35,2.43,20.45,95.87,98.73,55.89,78.93,114,93.95,96.87,0.96,0.83
HPLXTCR03407,gdna,Healthy,4.89,32.59,94.01,97.74,55.57,3.73,32.44,96.05,98.79,56.05,76.27,108,93.35,96.6,0.96,0.821
HPLXTCR03406,gdna,Healthy,5.48,36.51,94.2,97.85,55.44,4.11,36.35,96.12,98.82,55.88,75.11,115,93.02,96.32,0.97,0.815
HPLXTCR03405,gdna,Healthy,4.74,31.58,94.09,97.79,55.59,3.55,31.45,96.16,98.84,56.06,74.94,105,93.1,96.3,0.97,0.812
HPLXTCR03404,gdna,Healthy,3.81,25.37,94.47,98.02,55.7,3.04,25.28,95.96,98.78,56.3,79.88,106,93.96,97.04,0.95,0.839
HPLXTCR03403,gdna,Healthy,3.47,23.16,94.41,97.96,55.29,2.75,23.07,95.91,98.74,55.92,79.02,74,94.36,96.98,0.95,0.838
HPLXTCR03402,gdna,Healthy,4.36,29.04,94.36,97.95,55.6,3.41,28.92,95.94,98.75,56.04,78.3,105,93.63,96.73,0.95,0.819
HPLXTCR03401,gdna,Healthy,3.23,21.53,94.29,97.92,55.55,2.56,21.44,95.86,98.72,56.06,79.36,106,94.06,96.87,0.95,0.832
HPLXTCR03400,gdna,Healthy,3.61,24.09,94.37,97.92,55.38,2.76,24.0,96.21,98.85,55.78,76.33,113,93.24,96.7,0.97,0.817
HPLXTCR03399,gdna,Healthy,3.1,20.69,94.39,97.98,54.78,2.49,20.61,95.86,98.72,55.1,80.35,153,94.45,97.11,0.95,0.832
HPLXTCR03398,gdna,Healthy,5.85,38.98,94.16,97.82,55.41,4.32,38.82,96.31,98.9,55.92,73.96,105,93.07,96.32,0.97,0.814
HPLXTCR03397,gdna,Healthy,3.49,23.25,94.23,97.89,55.52,2.73,23.15,95.84,98.71,56.04,78.2,104,93.72,96.77,0.95,0.822
HPLXTCR03396,gdna,Healthy,3.77,25.16,94.11,97.81,55.7,2.92,25.03,95.86,98.72,56.16,77.39,94,93.34,96.59,0.96,0.823
HPLXTCR03395,gdna,Healthy,3.23,21.5,94.28,97.91,55.47,2.49,21.42,96.03,98.78,55.84,77.15,106,92.95,96.4,0.97,0.814
HPLXTCR03394,gdna,Healthy,3.62,24.12,93.65,97.5,55.76,2.79,24.02,96.0,98.77,56.33,76.97,104,93.57,96.77,0.96,0.824
HPLXTCR03393,gdna,Healthy,3.68,24.5,94.46,98.0,55.45,2.87,24.41,96.03,98.79,55.94,77.96,105,93.58,96.79,0.96,0.821
